,,,,,,,,,,
Country,Export zone,Import zone,,Country,Export zone,Import zone,,Country,Export zone ,Import zone
Afghanistan,7,10,,Greenland,7,NS,,Panama,7,10
Aland Island(Finland),4,6,,Grenada,7,10,,Papua New Guinea ,2,NS
Albania,7,8,,Guadeloupe,7,10,,Paraguay,7,10
Algeria,6,9,,Guam,2,10,,Peru,7,10
American Samoa,2,10,,Guatemala,7,10,,Philippines,1,4
Andoma,4,NS,,Guemsey(Channel Islands),4,10,,Poland,4,6
Angola,4,10,,Guinea,6,10,,Ponape (Micronesia Federal State of),2,NS
Angullia,7,10,,Guinea-Bissau,6,10,,Portugal,4,6
Antigua and Barbuda,7,10,,Guyana,7,10,,Puerto Rico,4,7
Argentina,7,10,,,,,,,,
Armenia,7,10,,Haiti,7,10,,Qatar,2,3
Aruba,7,10,,Heligoland(Germany),4,5,,,,
Australlia,3,4,,Honduras,7,10,,Reunion Island,6,10
Austria,4,5,,Hong Kong,1,2,,Romania,7,6
Azerbaijan,7,10,,Hungary,4,6,,Rota(Northern Mariana Islands),2,10
Azores(Portugal),4,6,,,,,,Russia,7,9
,,,,Iceland,4,8,,Rwanda,6,10
Bahamas,7,10,,India,1,1,,,,
Bahrain,2,3,,Indonesia,1,1,,Saipan(Northern Mariana Islands),2,10
Bangaladesh,1,1,,Iraq,2,10,,Samoa,2,10
Barbados,7,10,,"Ireland,Republic of",4,6,,San Marino,4,10
Belarus/Byelorussia,7,10,,Israel,2,8,,,,
Belgium,4,5,,Italy,4,5,,Saudi Arabia,2,3
Bellze,7,NS,,,,,,Scotland (United Kingdom),3,5
Benin,7,10,,Jamaica,7,10,,Senegal,6,10
Bermuda,7,10,,Japan,3,4,,Serbia,7,8
Bhutan,6,1,,Jersey(Channel Islands),4,10,,Seychelles,7,10
Bolivia,7,10,,Jordan,2,3,,,,
"Bonaire,St Eustatius,Saba",7,10,,,,,,Sierra Leone,6,10
Bosnia and Herzegovina,7,10,,Kazakhstan,7,10,,Singapore,1,1
Botswana,6,10,,Kenya,6,10,,Slovakla,7,6
Brazil,7,10,,Kirghizia ( Kyrgysystan),7,10,,Slovenia,7,6
British vergin Islands,7,10,,Kiribati,7,NS,,Solomon Islands,2,NS
Brunei,1,1,,"Korea,South",3,4,,South Africa,6,9
Buesingen(Germany),4,5,,"Kosrae(Micronesia,Federated state of",2,NS,,Spian,4,5
Bulgaria,7,6,,Kuwait,2,3,,St. Barthelemy,7,10
Burkina Faso,6,10,,,,,,St.Christopher(St.Kitts),7,10
Burundi,6,10,,Laos,7,4,,St.Croix (U.S Vergin Islands),7,10
,,,,Latvia,7,6,,St.John(U.S Vergin Islands),7,10
Cambodia,7,4,,Lebanon,6,3,,St.Kitts and Nevis,7,10
Cameroon,6,10,,Lesotho,6,10,,St.Lucia,7,10
Campione/Lake Lugano(Italy),4,5,,Liberia,6,10,,"St. Maarten, St. Martin",7,10
Canada,5,7,,Libyan Arab Jmahiriya,6,10,,St.Thomas (U.S. Virgin Islands),7,10
Canry Islands/ Spain,7,5,,Liechtenstein,4,6,,St. Vincent & the Grenadines,7,10
CapeVerde,7,10,,Lithuania,7,6,,Suriname,7,10
Cayman Islands,7,10,,Livigno(Italy),4,5,,Swaziland,6,10
Central African Republic,6,NS,,Luxembourg,4,5,,Swedan,4,6
Ceuta(Spain),4,5,,,,,,Switzerland,4,6
Chad,6,10,,Macau,1,2,,Syrian Arab Republic,7,NS
Chile,7,10,,Macedonia(FYROM),7,10,,,,
"China,Peoples Republic of",3,2,,Madagascar,6,10,,Tahiti (French Polynesia),2,10
Cambodia,7,10,,Madeira(Portugal),4,6,,Taiwan,3,2
Comoros,7,10,,Malawi,6,10,,Tajikistan,7,NS
Congo(Brazzavillie),6,10,,Malaysia,1,4,,"Tanzania, United republic of",6,10
"Congo,Democratic Republic of",6,10,,Maldives,1,10,,Thailand,1,1
Cook Islands,2,NS,,Mali,6,10,,Timor-Leste,2,NS
Costa Rica,7,10,,Malta,4,6,,Tinian (Northern Mariana Islands),2,10
Cote d'lvoire(Ivory Coast),7,10,,Marshall Islands,7,NS,,Togo,7,10
Croatia,7,6,,Martinique,7,10,,Tonga,2,NS
Cuba,7,10,,Mauritania,6,10,,Tortola ( British Virgin Islands),7,10
Curacao,7,10,,Mauritius,6,10,,Trinidad & Tobago,7,10
Cyprus,2,6,,Mayotte,7,10,,"Truk (Micronesia, Federated Status of)",2,NS
Czech Republic,4,6,,Melilla(Spain),4,NS,,Tunisia,6,9
,,,,Mexico,5,7,,Turkey,4,8
Denmark,4,6,,"Micronesia,Federated state of ",2,NS,,Turks & Caicos Islands,7,10
Djibouti,6,10,,Moldova,7,8,,Tuvalu,2,NS
Dominica,7,10,,Monaco(France),4,5,,,,
Dominican Republic,7,10,,Mongolia,4,10,,U.S. Virgin Islands,7,10
,,,,Montenegro,7,8,,Uganda,6,10
Ecuador,7,10,,Montserrat,7,10,,Ukraine,7,8
Egypt,2,9,,Morocco,6,9,,Union Islands (St. Vincent & the Grenadines),7,10
EI Salvador,7,10,,Mount Athos(Greece),4,6,,United Arab Emirates,2,1
England (United Kingdom),3,5,,Mozambique,6,10,,United Kingdom,3,5
Equatoria Guinea,7,10,,Myanmar,7,4,,United Status,5,7
Eritrea,7,10,,,,,,Uruguay,7,10
Estonia,7,6,,Nepal,1,1,,Uzbekistan,7,10
Ethiopia,6,10,,Netharlands(Holland),4,5,,,,
,,,,New Calendonia,2,10,,Vanuatu,2,NS
Farcoe Islands,7,NS,,New Zealand,1,4,,Vatican City (Italy),4,5
Fiji,2,10,,Nicaragua,7,10,,Venezuela,7,10
Finland,4,6,,Niger,6,10,,Vietnam,7,4
France,4,5,,Nigeria,6,9,,Virgin Gorda (British Virgin Islands),7,10
French Guiana,7,NS,,Norfolk Island(Asutralia),7,4,,,,
French Polynesia,2,10,,Northern Ireland(United Kingdom),3,5,,Wales (United Kingdom),3,5
,,,,Northern Mariana Islands,2,10,,Wallis & Futuna Islands,2,NS
Gabon,6,10,,Norway,4,8,,,,
Gambia,6,10,,,,,,"Yap (Micronesia, Federated Status of)",2,NS
Georgia,7,8,,Oman,2,3,,"Yeman, Republic of",6,10
Germany,4,5,,,,,,,,
Ghana,6,10,,Pakistan,3,1,,Zambia,6,10
Gibraltar,4,10,,Palau,2,NS,,Zimbabwe,6,10
Greece,4,6,,,,,,,,